product_id,product_gid,status,en_title,nl_title,en_handle,nl_handle_translation,nl_handle_effective,mismatch,en_url,nl_url,admin_url
10669283541319,gid://shopify/Product/10669283541319,ACTIVE,Lindemann Service Cleaner Diesel,Lindemann Service Cleaner Diesel 400ml,lindemann-service-cleaner-diesel,,lindemann-service-cleaner-diesel,no,https://dpp-shop.com/products/lindemann-service-cleaner-diesel,https://dpp-shop.com/nl/products/lindemann-service-cleaner-diesel,https://dutch-performance-products.myshopify.com/admin/products/10669283541319
10669283672391,gid://shopify/Product/10669283672391,ACTIVE,Lindemann Service Cleaner Hybrid 400ml (Petrol),Lindemann Service Cleaner Hybrid 400ml (Benzine),lindemann-service-cleaner-hybrid,,lindemann-service-cleaner-hybrid,no,https://dpp-shop.com/products/lindemann-service-cleaner-hybrid,https://dpp-shop.com/nl/products/lindemann-service-cleaner-hybrid,https://dutch-performance-products.myshopify.com/admin/products/10669283672391
10669283574087,gid://shopify/Product/10669283574087,ACTIVE,Lindemann Smokeless 400ml,Lindemann Smokeless 400ml,lindemann-smokeless,,lindemann-smokeless,no,https://dpp-shop.com/products/lindemann-smokeless,https://dpp-shop.com/nl/products/lindemann-smokeless,https://dutch-performance-products.myshopify.com/admin/products/10669283574087
10711322198343,gid://shopify/Product/10711322198343,ACTIVE,Lindemann Total Care Diesel 1L,Lindemann Total Care Diesel 1L,lindemann-total-care-diesel,,lindemann-total-care-diesel,no,https://dpp-shop.com/products/lindemann-total-care-diesel,https://dpp-shop.com/nl/products/lindemann-total-care-diesel,https://dutch-performance-products.myshopify.com/admin/products/10711322198343
10711537221959,gid://shopify/Product/10711537221959,ACTIVE,Lindemann Total Care Petrol 1L,Lindemann Total Care Petrol 1L (Benzine),lindemann-total-care-petrol-1l,,lindemann-total-care-petrol-1l,no,https://dpp-shop.com/products/lindemann-total-care-petrol-1l,https://dpp-shop.com/nl/products/lindemann-total-care-petrol-1l,https://dutch-performance-products.myshopify.com/admin/products/10711537221959
10711304765767,gid://shopify/Product/10711304765767,ACTIVE,Lindemann Worn Engine Treatment,Lindemann Worn Engine Treatment 300ml,lindemann-worn-engine-treatment,,lindemann-worn-engine-treatment,no,https://dpp-shop.com/products/lindemann-worn-engine-treatment,https://dpp-shop.com/nl/products/lindemann-worn-engine-treatment,https://dutch-performance-products.myshopify.com/admin/products/10711304765767
10711536861511,gid://shopify/Product/10711536861511,ACTIVE,Petrol Tank Funnel (Also for Anti-Siphon Valve),Trechter benzinetank (ook terugslagklep),z-8020-fuel-additive-funnel-petrol,,z-8020-fuel-additive-funnel-petrol,no,https://dpp-shop.com/products/z-8020-fuel-additive-funnel-petrol,https://dpp-shop.com/nl/products/z-8020-fuel-additive-funnel-petrol,https://dutch-performance-products.myshopify.com/admin/products/10711536861511
10735322136903,gid://shopify/Product/10735322136903,DRAFT,Velorest 3-Pack Microfiber Cloth,Velorest 3-Pack Microfiber Cloth,velorest-3-pack-microfiber-cloth,,velorest-3-pack-microfiber-cloth,no,https://dpp-shop.com/products/velorest-3-pack-microfiber-cloth,https://dpp-shop.com/nl/products/velorest-3-pack-microfiber-cloth,https://dutch-performance-products.myshopify.com/admin/products/10735322136903
10711322296647,gid://shopify/Product/10711322296647,DRAFT,Velorest 3-Pack Premium Microfiber Cloth - 350 GSM,Velorest 3-Pack Premium Microfiber Cloth - 350 GSM,velorest-3-pack-premium-microfiber-cloth-350-gsm,,velorest-3-pack-premium-microfiber-cloth-350-gsm,no,https://dpp-shop.com/products/velorest-3-pack-premium-microfiber-cloth-350-gsm,https://dpp-shop.com/nl/products/velorest-3-pack-premium-microfiber-cloth-350-gsm,https://dutch-performance-products.myshopify.com/admin/products/10711322296647
10711305257287,gid://shopify/Product/10711305257287,ACTIVE,Velorest Bike Clean Bundle,Velorest Bike Clean Bundle,velorest-bike-clean-bundle,,velorest-bike-clean-bundle,no,https://dpp-shop.com/products/velorest-bike-clean-bundle,https://dpp-shop.com/nl/products/velorest-bike-clean-bundle,https://dutch-performance-products.myshopify.com/admin/products/10711305257287
10711301095751,gid://shopify/Product/10711301095751,ACTIVE,Velorest Bike Cleaner 500ML,Velorest Bike Cleaner 500ML - Fiets reiniger,velorest-bike-cleaner-500ml,,velorest-bike-cleaner-500ml,no,https://dpp-shop.com/products/velorest-bike-cleaner-500ml,https://dpp-shop.com/nl/products/velorest-bike-cleaner-500ml,https://dutch-performance-products.myshopify.com/admin/products/10711301095751
